feature,gain
home_team_te,4724.28284150362
away_team_te,4109.563595831394
last5_goal_diff,2341.623589873314
away_elo,2277.3611492812634
home_elo,2276.8784087002277
matchday,1711.3630041480064
elo_diff,1626.9031473398209
home_last5_goal_diff,1521.9291194975376
elo_x_form,1517.3146273978055
days_from_season_start,1381.3732488751411
last5_points_diff,1351.5986347794533
away_last5_goals_scored,1237.341276049614
away_rest_days,1213.8568694591522
elo_diff_abs,1052.2598764002323
home_last5_goals_scored,993.5220503807068
goals_last5_diff,993.1471314281225
away_last5_goal_diff,896.7108098566532
home_rest_days,893.5067885518074
away_last5_points,872.3495056629181
home_last5_points,768.241396188736
rest_days_diff,644.3146405220032
is_weekend,144.2838295698166
home_favorite,32.81426000595093
