league,season,team,player_name,nation,pos,age,born,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G-PK,Per_90_Minutes_G+A-PK,Per_90_Minutes_xG,Per_90_Minutes_xAG,Per_90_Minutes_xG+xAG,Per_90_Minutes_npxG,Per_90_Minutes_npxG+xAG,Tackles_Tkl,Tackles_TklW,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Int,Tkl+Int,Clr,Blocks_Blocks,Challenges_Tkl%,Challenges_Lost,Err,Total_Cmp,Total_Att,Total_Cmp%,Total_PrgDist,KP,Expected_xA,1/3,PPA,PrgP,Short_Cmp%,Medium_Cmp%,Long_Cmp%,Pass_Types_TB,Pass_Types_Sw,Pass_Types_Crs,Outcomes_Blocks,Outcomes_Off,player_id
ENG-Premier League,25/26,Leeds United,Brenden Aaronson,USA,"MF,FW",25-200,2000,34,27,2239,24.9,4,5,9,4,0,0,2,0,,,,,,,,0.16,0.20,0.36,0.16,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brenden_aaronson_leeds_united
ENG-Premier League,25/26,Nott'ham Forest,Zach Abbott,ENG,DF,19-362,2006,3,2,164,1.8,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zach_abbott_nott_ham_forest
ENG-Premier League,25/26,Aston Villa,Tammy Abraham,ENG,FW,28-220,1997,12,2,286,3.2,2,0,2,2,0,0,0,0,,,,,,,,0.63,0.00,0.63,0.63,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tammy_abraham_aston_villa
ENG-Premier League,25/26,Chelsea,Joshua Acheampong,ENG,DF,20-005,2006,15,7,587,6.5,1,0,1,1,0,0,1,0,,,,,,,,0.15,0.00,0.15,0.15,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,joshua_acheampong_chelsea
ENG-Premier League,25/26,Bournemouth,Tyler Adams,USA,MF,27-085,1999,23,19,1593,17.7,2,2,4,2,0,0,7,0,,,,,,,,0.11,0.11,0.23,0.11,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tyler_adams_bournemouth
ENG-Premier League,25/26,Chelsea,Tosin Adarabioyo,ENG,DF,28-228,1997,16,8,795,8.8,0,0,0,0,0,0,2,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tosin_adarabioyo_chelsea
ENG-Premier League,25/26,Sunderland,Simon Adingra,CIV,"MF,FW",24-129,2002,14,9,653,7.3,1,0,1,1,0,0,2,0,,,,,,,,0.14,0.00,0.14,0.14,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simon_adingra_sunderland
ENG-Premier League,25/26,Bournemouth,Amine Adli,MAR,MF,26-000,2000,30,10,1076,12.0,3,1,4,3,0,0,2,0,,,,,,,,0.25,0.08,0.33,0.25,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,amine_adli_bournemouth
ENG-Premier League,25/26,Wolves,Emmanuel Agbadou,CIV,DF,28-327,1997,14,12,1101,12.2,0,0,0,0,0,0,1,1,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,emmanuel_agbadou_wolves
ENG-Premier League,25/26,West Ham,Nayef Aguerd,MAR,DF,30-041,1996,2,2,180,2.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nayef_aguerd_west_ham
ENG-Premier League,25/26,Nott'ham Forest,Ola Aina,NGA,DF,29-214,1996,18,18,1588,17.6,0,0,0,0,0,0,3,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ola_aina_nott_ham_forest
ENG-Premier League,25/26,Manchester City,Rayan Aït-Nouri,ALG,DF,24-338,2001,15,11,870,9.7,0,2,2,0,0,0,2,0,,,,,,,,0.00,0.21,0.21,0.00,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rayan_ait_nouri_manchester_city
ENG-Premier League,25/26,Brentford,Kristoffer Ajer,NOR,DF,28-023,1998,26,19,1729,19.2,0,1,1,0,0,0,4,0,,,,,,,,0.00,0.05,0.05,0.00,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kristoffer_ajer_brentford
ENG-Premier League,25/26,Manchester City,Nathan Aké,NED,DF,31-081,1995,16,5,586,6.5,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nathan_ake_manchester_city
ENG-Premier League,25/26,Everton,Carlos Alcaraz,ARG,MF,23-161,2002,18,6,681,7.6,0,1,1,0,0,0,4,0,,,,,,,,0.00,0.13,0.13,0.00,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,carlos_alcaraz_everton
ENG-Premier League,25/26,Sunderland,Omar Alderete,PAR,DF,29-135,1996,32,31,2776,30.8,1,1,2,1,0,0,6,0,,,,,,,,0.03,0.03,0.06,0.03,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,omar_alderete_sunderland
ENG-Premier League,25/26,Liverpool,Alisson,BRA,GK,33-220,1992,25,25,2250,25.0,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alisson_liverpool
ENG-Premier League,25/26,Manchester City,Max Alleyne,ENG,DF,20-293,2005,2,2,135,1.5,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,max_alleyne_manchester_city
